,sentences
1445,"['METHODS', 'AND', 'RESULTS', 'When', 'expressed', 'alone', 'in', 'Xenopus', 'oocytes', ',', 'T1620M', 'exhibited', 'no', 'persistent', 'currents', ',', 'in', 'contrast', 'to', 'the', 'LQT3', 'mutant', 'channels', ',', 'but', 'the', 'midpoint', 'of', 'steady-state', 'inactivation', '(', 'V', '(', '1', '/', '2', ')', ')', 'was', 'significantly', 'shifted', 'toward', 'more', 'positive', 'potentials', 'than', 'for', 'wild-type', 'hH1']"
1446,"['Coexpression', 'of', 'hbeta', '(', '1', ')', 'did', 'not', 'significantly', 'alter', 'current', 'decay', 'or', 'recovery', 'from', 'inactivation', 'of', 'wild-type', 'hH1', ';', 'however', ',', 'it', 'further', 'shifted', 'the', 'V', '(', '1', '/', '2', ')', 'and', 'accelerated', 'the', 'recovery', 'from', 'inactivation', 'of', 'T1620M']"
1447,"['Oocyte', 'macropatch', 'analysis', 'revealed', 'that', 'the', 'activation', 'kinetics', 'of', 'T1620M', 'were', 'normal']"
1448,"['CONCLUSIONS', 'It', 'is', 'suggested', 'that', 'coexpression', 'of', 'hbeta', '(', '1', ')', 'exposes', 'a', 'more', 'severe', 'functional', 'defect', 'that', 'results', 'in', 'a', 'greater', 'overlap', 'in', 'the', 'relationship', 'between', 'channel', 'inactivation', 'and', 'activation', '(', 'window', 'current', ')', 'in', 'T1620M', ',', 'which', 'is', 'proposed', 'to', 'be', 'a', 'potential', 'pathophysiological', 'mechanism', 'of', 'IVF', 'in', 'vivo']"
1449,"['One', 'possible', 'explanation', 'for', 'our', 'finding', 'is', 'an', 'altered', 'alpha-', '/', 'beta', '(', '1', ')', '-subunit', 'association', 'in', 'the', 'mutant']"
1450,[]
1451,"['Meiotic', 'segregation', 'analysis', 'of', 'RB1', 'alleles', 'in', 'retinoblastoma', 'pedigrees', 'by', 'use', 'of', 'single-sperm', 'typing.', 'In', 'hereditary', 'retinoblastoma', ',', 'different', 'epidemiological', 'studies', 'have', 'indicated', 'a', 'preferential', 'paternal', 'transmission', 'of', 'mutant', 'retinoblastoma', 'alleles', 'to', 'offspring', ',', 'suggesting', 'the', 'occurrence', 'of', 'a', 'meiotic', 'drive']"
1452,"['To', 'investigate', 'this', 'mechanism', ',', 'we', 'analyzed', 'sperm', 'samples', 'from', 'six', 'individuals', 'from', 'five', 'unrelated', 'families', 'affected', 'with', 'hereditary', 'retinoblastoma']"
1453,"['Single-sperm', 'typing', 'techniques', 'were', 'performed', 'for', 'each', 'sample', 'by', 'study', 'of', 'two', 'informative', 'short', 'tandem', 'repeats', 'located', 'either', 'in', 'or', 'close', 'to', 'the', 'retinoblastoma', 'gene', '(', 'RB1', ')']"
1454,"['The', 'segregation', 'probability', 'of', 'mutant', 'RB1', 'alleles', 'in', 'sperm', 'samples', 'was', 'assessed', 'by', 'use', 'of', 'the', 'SPERMSEG', 'program', ',', 'which', 'includes', 'experimental', 'parameters', ',', 'recombination', 'fractions', 'between', 'the', 'markers', ',', 'and', 'segregation', 'parameters']"
1455,"['A', 'total', 'of', '2', ',', '952', 'single', 'sperm', 'from', 'the', 'six', 'donors', 'were', 'analyzed']"
1456,"['We', 'detected', 'a', 'significant', 'segregation', 'distortion', 'in', 'the', 'data', 'as', 'a', 'whole', '(', 'P', '=']"
1457,"['0099', ')', 'and', 'a', 'significant', 'heterogeneity', 'in', 'the', 'segregation', 'rate', 'across', 'donors', '(']"
1458,"['0092', ')']"
1459,"['Further', 'analysis', 'shows', 'that', 'this', 'result', 'can', 'be', 'explained', 'by', 'segregation', 'distortion', 'in', 'favor', 'of', 'the', 'normal', 'allele', 'in', 'one', 'donor', 'only', 'and', 'that', 'it', 'does', 'not', 'provide', 'evidence', 'of', 'a', 'significant', 'segregation', 'distortion', 'in', 'the', 'other', 'donors']"
1460,"['The', 'segregation', 'distortion', 'favoring', 'the', 'mutant', 'RB1', 'allele', 'does', 'not', 'seem', 'to', 'occur', 'during', 'spermatogenesis', ',', 'and', ',', 'thus', ',', 'meiotic', 'drive', 'may', 'result', 'either', 'from', 'various', 'mechanisms', ',', 'including', 'a', 'fertilization', 'advantage', 'or', 'a', 'better', 'mobility', 'in', 'sperm', 'bearing', 'a', 'mutant', 'RB1', 'gene', ',', 'or', 'from', 'the', 'existence', 'of', 'a', 'defectively', 'imprinted', 'gene', 'located', 'on', 'the', 'human', 'X', 'chromosome']"
1461,"['Friedreich', 'ataxia', ':', 'an', 'overview.', 'Friedreich', 'ataxia', ',', 'an', 'autosomal', 'recessive', 'neurodegenerative', 'disease', ',', 'is', 'the', 'most', 'common', 'of', 'the', 'inherited', 'ataxias']"
1462,"['The', 'recent', 'discovery', 'of', 'the', 'gene', 'that', 'is', 'mutated', 'in', 'this', 'condition', ',', 'FRDA', ',', 'has', 'led', 'to', 'rapid', 'advances', 'in', 'the', 'understanding', 'of', 'the', 'pathogenesis', 'of', 'Friedreich', 'ataxia']"
1463,"['About', '98', '%', 'of', 'mutant', 'alleles', 'have', 'an', 'expansion', 'of', 'a', 'GAA', 'trinucleotide', 'repeat', 'in', 'intron', '1', 'of', 'the', 'gene']"
1464,"['This', 'leads', 'to', 'reduced', 'levels', 'of', 'the', 'protein', ',', 'frataxin']"
1465,"['There', 'is', 'mounting', 'evidence', 'to', 'suggest', 'that', 'Friedreich', 'ataxia', 'is', 'the', 'result', 'of', 'accumulation', 'of', 'iron', 'in', 'mitochondria', 'leading', 'to', 'excess', 'production', 'of', 'free', 'radicals', ',', 'which', 'then', 'results', 'in', 'cellular', 'damage', 'and', 'death']"
1466,"['Currently', 'there', 'is', 'no', 'known', 'treatment', 'that', 'alters', 'the', 'natural', 'course', 'of', 'the', 'disease']"
1467,"['The', 'discovery', 'of', 'the', 'FRDA', 'gene', 'and', 'its', 'possible', 'function', 'has', 'raised', 'hope', 'that', 'rational', 'therapeutic', 'strategies', 'will', 'be', 'developed']"
1468,[]
1469,"['X-linked', 'retinoschisis', 'with', 'point', 'mutations', 'in', 'the', 'XLRS1', 'gene.', 'BACKGROUND', 'X-linked', 'retinoschisis', '(', 'XLRS', ')', 'is', 'a', 'relatively', 'rare', 'vitreoretinal', 'dystrophy', 'that', 'causes', 'visual', 'loss', 'in', 'young', 'men']"
1470,"['Recently', ',', 'a', 'gene', 'responsible', 'for', 'this', 'disease', ',', 'designated', 'XLRS1', ',', 'was', 'identified', ',', 'and', 'several', 'deleterious', 'gene', 'mutations', 'were', 'reported']"
1471,"['OBJECTIVE', 'To', 'analyze', 'Japanese', 'patients', 'clinically', 'diagnosed', 'as', 'having', 'XLRS', 'formutational', 'changes', 'in', 'the', 'XLRS1', 'gene']"
1472,"['METHODS', 'Ten', 'patients', 'with', 'XLRS', 'underwent', 'full', 'ophthalmologic', 'examination', ',', 'including', 'slitlamp', 'biomicroscopy', 'and', 'dilated', 'funduscopy']"
1473,"['Genomic', 'DNA', 'was', 'isolated', 'from', 'leukocytes', ',', 'and', 'all', 'exons', 'of', 'the', 'XLRS1', 'gene', 'were', 'amplified', 'by', 'polymerase', 'chain', 'reaction', 'and', 'analyzed', 'using', 'a', 'direct', 'sequencing', 'method']"
1474,"['RESULTS', 'Point', 'mutations', 'in', 'the', 'XLRS1', 'gene', 'were', 'identified', 'in', 'all', '10', 'patients']"
1475,"['The', 'mutations', 'were', 'identical', 'in', 'each', 'of', '2', 'pairs', 'of', 'brothers']"
1476,"['Six', 'of', 'the', 'point', 'mutations', 'represented', 'missense', 'mutations', ',', '1', 'was', 'a', 'nonsense', 'mutation', ',', 'and', '1', 'was', 'a', 'frameshift', 'mutation']"
1477,"['Five', 'of', 'the', 'mutations', 'are', 'newly', 'reported', 'herein']"
1478,"['CONCLUSIONS', 'The', 'discovery', 'of', 'new', 'point', 'mutations', 'in', 'this', 'study', 'increases', 'the', 'available', 'information', 'regarding', 'the', 'spectrum', 'of', 'genetic', 'abnormalities', 'and', 'clinical', 'manifestations', 'of', 'XLRS']"
1479,"['However', ',', 'the', 'limited', 'data', 'failed', 'to', 'reveal', 'a', 'correlation', 'between', 'mutation', 'and', 'disease', 'phenotype']"
1480,"['CLINICAL', 'RELEVANCE', 'Identification', 'of', 'mutations', 'in', 'the', 'XLRS1', 'gene', 'and', 'expanded', 'information', 'on', 'clinical', 'manifestations', 'will', 'facilitate', 'early', 'diagnosis', ',', 'appropriate', 'early', 'therapy', ',', 'and', 'genetic', 'counseling', 'regarding', 'the', 'prognosis', 'of', 'XLRS']"
1481,[]
1482,"['Atm', 'and', 'Bax', 'cooperate', 'in', 'ionizing', 'radiation-induced', 'apoptosis', 'in', 'the', 'central', 'nervous', 'system.', 'Ataxia-telangiectasia', 'is', 'a', 'hereditary', 'multisystemic', 'disease', 'resulting', 'from', 'mutations', 'of', 'ataxia', 'telangiectasia', ',', 'mutated', '(', 'ATM', ')', 'and', 'is', 'characterized', 'by', 'neurodegeneration', ',', 'cancer', ',', 'immune', 'defects', ',', 'and', 'hypersensitivity', 'to', 'ionizing', 'radiation']"
1483,"['The', 'molecular', 'details', 'of', 'ATM', 'function', 'in', 'the', 'nervous', 'system', 'are', 'unclear', ',', 'although', 'the', 'neurological', 'lesion', 'in', 'ataxia-telangiectasia', 'becomes', 'apparent', 'early', 'in', 'life', ',', 'suggesting', 'a', 'developmental', 'origin']"
1484,"['The', 'central', 'nervous', 'system', '(', 'CNS', ')', 'of', 'Atm-null', 'mice', 'shows', 'a', 'pronounced', 'defect', 'in', 'apoptosis', 'induced', 'by', 'genotoxic', 'stress', ',', 'suggesting', 'ATM', 'functions', 'to', 'eliminate', 'neurons', 'with', 'excessive', 'genomic', 'damage']"
1485,"['Here', ',', 'we', 'report', 'that', 'the', 'death', 'effector', 'Bax', 'is', 'required', 'for', 'a', 'large', 'proportion', 'of', 'Atm-dependent', 'apoptosis', 'in', 'the', 'developing', 'CNS', 'after', 'ionizing', 'radiation', '(', 'IR', ')']"
1486,"['Although', 'many', 'of', 'the', 'same', 'regions', 'of', 'the', 'CNS', 'in', 'both', 'Bax-', '/', '-', 'and', 'Atm-', '/', '-', 'mice', 'were', 'radioresistant', ',', 'mice', 'nullizygous', 'for', 'both', 'Bax', 'and', 'Atm', 'showed', 'additional', 'reduction', 'in', 'IR-induced', 'apoptosis', 'in', 'the', 'CNS']"
1487,"['Therefore', ',', 'although', 'the', 'major', 'IR-induced', 'apoptotic', 'pathway', 'in', 'the', 'CNS', 'requires', 'Atm', 'and', 'Bax', ',', 'a', 'p53-dependent', 'collateral', 'pathway', 'exists', 'that', 'has', 'both', 'Atm-', 'and', 'Bax-independent', 'branches']"
1488,"['Further', ',', 'Atm-', 'and', 'Bax-dependent', 'apoptosis', 'in', 'the', 'CNS', 'also', 'required', 'caspase-3', 'activation']"
1489,"['These', 'data', 'implicate', 'Bax', 'and', 'caspase-3', 'as', 'death', 'effectors', 'in', 'neurodegenerative', 'pathways']"
1490,[]
1491,"['Haim-Munk', 'syndrome', 'and', 'Papillon-Lefevre', 'syndrome', 'are', 'allelic', 'mutations', 'in', 'cathepsin', 'C.', 'Of', 'the', 'many', 'palmoplantar', 'keratoderma', '(', 'PPK', ')', 'conditions', ',', 'only', 'Papillon-Lefevre', 'syndrome', '(', 'PLS', ')', 'and', 'Haim-Munk', 'syndrome', '(', 'HMS', ')', 'are', 'associated', 'with', 'premature', 'periodontal', 'destruction']"
1492,"['Although', 'both', 'PLS', 'and', 'HMS', 'share', 'the', 'cardinal', 'features', 'of', 'PPK', 'and', 'severe', 'periodontitis', ',', 'a', 'number', 'of', 'additional', 'findings', 'are', 'reported', 'in', 'HMS', 'including', 'arachnodactyly', ',', 'acro-osteolysis', ',', 'atrophic', 'changes', 'of', 'the', 'nails', ',', 'and', 'a', 'radiographic', 'deformity', 'of', 'the', 'fingers']"
1493,"['While', 'PLS', 'cases', 'have', 'been', 'identified', 'throughout', 'the', 'world', ',', 'HMS', 'has', 'only', 'been', 'described', 'among', 'descendants', 'of', 'a', 'religious', 'isolate', 'originally', 'from', 'Cochin', ',', 'India']"
1494,"['Parental', 'consanguinity', 'is', 'a', 'characteristic', 'of', 'many', 'cases', 'of', 'both', 'conditions']"
1495,"['Although', 'autosomal', 'recessive', 'transmission', 'of', 'PLS', 'is', 'evident', ',', 'a', 'more', '""', 'complex', '""', 'autosomal', 'recessive', 'pattern', 'of', 'inheritance', 'with', 'phenotypic', 'influences', 'from', 'a', 'closely', 'linked', 'modifying', 'locus', 'has', 'been', 'hypothesised', 'for', 'HMS']"
1496,"['Recently', ',', 'mutations', 'of', 'the', 'cathepsin', 'C', 'gene', 'have', 'been', 'identified', 'as', 'the', 'underlying', 'genetic', 'defect', 'in', 'PLS']"
1497,"['To', 'determine', 'if', 'a', 'cathepsin', 'C', 'mutation', 'is', 'also', 'responsible', 'for', 'HMS', ',', 'we', 'sequenced', 'the', 'gene', 'in', 'affected', 'and', 'unaffected', 'subjects', 'from', 'the', 'Cochin', 'isolate', 'in', 'which', 'both', 'the', 'PLS', 'and', 'HMS', 'phenotypes', 'appear']"
1498,"['Here', 'we', 'report', 'identification', 'of', 'a', 'mutation', 'of', 'cathepsin', 'C', '(', 'exon', '6', ',', '2127A--', '>', 'G', ')', 'that', 'changes', 'a', 'highly', 'conserved', 'amino', 'acid', 'in', 'the', 'cathepsin', 'C', 'peptide']"
1499,"['This', 'mutation', 'segregates', 'with', 'HMS', 'in', 'four', 'nuclear', 'families']"
1500,"['Additionally', ',', 'the', 'existence', 'of', 'a', 'shared', 'common', 'haplotype', 'for', 'genetic', 'loci', 'flanking', 'the', 'cathepsin', 'C', 'gene', 'suggests', 'that', 'affected', 'subjects', 'descended', 'from', 'the', 'Cochin', 'isolate', 'are', 'homozygous', 'for', 'a', 'mutation', 'inherited', '""', 'identical', 'by', 'descent', '""', 'from', 'a', 'common', 'ancestor']"
1501,"['This', 'finding', 'supports', 'simple', 'autosomal', 'recessive', 'inheritance', 'for', 'HMS', 'in', 'these', 'families']"
1502,"['We', 'also', 'report', 'a', 'mutation', 'of', 'the', 'same', 'exon', '6', 'CTSC', 'codon', '(', '2126C--', '>', 'T', ')', 'in', 'a', 'Turkish', 'family', 'with', 'classical', 'PLS']"
1503,"['These', 'findings', 'provide', 'evidence', 'that', 'PLS', 'and', 'HMS', 'are', 'allelic', 'variants', 'of', 'cathepsin', 'C', 'gene', 'mutations']"
1504,[]
1505,"['ATM-heterozygous', 'germline', 'mutations', 'contribute', 'to', 'breast', 'cancer', '-susceptibility.', 'Approximately', '0']"
1506,"['5', '%', '-1', '%', 'of', 'the', 'general', 'population', 'has', 'been', 'estimated', 'to', 'be', 'heterozygous', 'for', 'a', 'germline', 'mutation', 'in', 'the', 'ATM', 'gene']"
1507,"['Mutations', 'in', 'the', 'ATM', 'gene', 'are', 'responsible', 'for', 'the', 'autosomal', 'recessive', 'disorder', 'ataxia-telangiectasia', '(', 'A-T', ')', '(', 'MIM', '208900', ')']"
1508,"['The', 'finding', 'that', 'ATM-heterozygotes', 'have', 'an', 'increased', 'relative', 'risk', 'for', 'breast', 'cancer', 'was', 'supported', 'by', 'some', 'studies', 'but', 'not', 'confirmed', 'by', 'others']"
1509,"['In', 'view', 'of', 'this', 'discrepancy', ',', 'we', 'examined', 'the', 'frequency', 'of', 'ATM', 'germline', 'mutations', 'in', 'a', 'selected', 'group', 'of', 'Dutch', 'patients', 'with', 'breast', 'cancer']"
1510,"['We', 'have', 'analyzed', 'ATM', 'germline', 'mutations', 'in', 'normal', 'blood', 'lymphocytes', ',', 'using', 'the', 'protein-truncation', 'test', 'followed', 'by', 'genomic-sequence', 'analysis']"
1511,"['A', 'high', 'percentage', 'of', 'ATM', 'germline', 'mutations', 'was', 'demonstrated', 'among', 'patients', 'with', 'sporadic', 'breast', 'cancer']"
1512,"['The', '82', 'patients', 'included', 'in', 'this', 'study', 'had', 'developed', 'breast', 'cancer', 'at', 'age', '<', '45', 'and', 'had', 'survived', '>', '/', '=', '5', 'years', '(', 'mean', '15', 'years', ')', ',', 'and', 'in', '33', '(', '40', '%', ')', 'of', 'the', 'patients', 'a', 'contralateral', 'breast', 'tumor', 'had', 'been', 'diagnosed']"
1513,"['Among', 'these', 'patients', 'we', 'identified', 'seven', '(', '8']"
1514,"['5', '%', ')', 'ATM', 'germline', 'mutations', ',', 'of', 'which', 'five', 'are', 'distinct']"
1515,"['One', 'splice-site', 'mutation', '(', 'IVS10-6T--', '>', 'G', ')', 'was', 'detected', 'three', 'times', 'in', 'our', 'series']"
1516,"['Four', 'heterozygous', 'carriers', 'were', 'patients', 'with', 'bilateral', 'breast', 'cancer']"
1517,"['Our', 'results', 'indicate', 'that', 'the', 'mutations', 'identified', 'in', 'this', 'study', 'are', '""', 'A-T', 'disease-causing', '""', 'mutations', 'that', 'might', 'be', 'associated', 'with', 'an', 'increased', 'risk', 'of', 'breast', 'cancer', 'in', 'heterozygotes']"
1518,"['We', 'conclude', 'that', 'ATM', 'heterozygotes', 'have', 'an', 'approximately', 'ninefold-increased', 'risk', 'of', 'developing', 'a', 'type', 'of', 'breast', 'cancer', 'characterized', 'by', 'frequent', 'bilateral', 'occurrence', ',', 'early', 'age', 'at', 'onset', ',', 'and', 'long-term', 'survival']"
1519,"['The', 'specific', 'characteristics', 'of', 'our', 'population', 'of', 'patients', 'may', 'explain', 'why', 'such', 'a', 'high', 'frequency', 'was', 'not', 'found', 'in', 'other', 'series']"
1520,"['Human', 'mutations', 'in', 'glucose', '6-phosphate', 'dehydrogenase', 'reflect', 'evolutionary', 'history.', 'Glucose', '6-phosphate', 'dehydrogenase', '(', 'G6PD', ')', 'is', 'a', 'cytosolic', 'enzyme', 'encoded', 'by', 'a', 'housekeeping', 'X-linked', 'gene', 'whose', 'main', 'function', 'is', 'to', 'produce', 'NADPH', ',', 'a', 'key', 'electron', 'donor', 'in', 'the', 'defense', 'against', 'oxidizing', 'agents', 'and', 'in', 'reductive', 'biosynthetic', 'reactions']"
1521,"['Inherited', 'G6PD', 'deficiency', 'is', 'associated', 'with', 'either', 'episodic', 'hemolytic', 'anemia', '(', 'triggered', 'by', 'fava', 'beans', 'or', 'other', 'agents', ')', 'or', 'life-long', 'hemolytic', 'anemia']"
1522,"['We', 'show', 'here', 'that', 'an', 'evolutionary', 'analysis', 'is', 'a', 'key', 'to', 'understanding', 'the', 'biology', 'of', 'a', 'housekeeping', 'gene']"
1523,"['From', 'the', 'alignment', 'of', 'the', 'amino', 'acid', '(', 'aa', ')', 'sequence', 'of', '52', 'glucose', '6-phosphate', 'dehydrogenase', '(', 'G6PD', ')', 'species', 'from', '42', 'different', 'organisms', ',', 'we', 'found', 'a', 'striking', 'correlation', 'between', 'the', 'aa', 'replacements', 'that', 'cause', 'G6PD', 'deficiency', 'in', 'humans', 'and', 'the', 'sequence', 'conservation', 'of', 'G6PD', 'two-thirds', 'of', 'such', 'replacements', 'are', 'in', 'highly', 'and', 'moderately', 'conserved', '(', '50-99', '%', ')', 'aa', ';', 'relatively', 'few', 'are', 'in', 'fully', 'conserved', 'aa', '(', 'where', 'they', 'might', 'be', 'lethal', ')', 'or', 'in', 'poorly', 'conserved', 'aa', ',', 'where', 'presumably', 'they', 'simply', 'would', 'not', 'cause', 'G6PD', 'deficiency']"
1524,"['This', 'is', 'consistent', 'with', 'the', 'notion', 'that', 'all', 'human', 'mutants', 'have', 'residual', 'enzyme', 'activity', 'and', 'that', nan, 'mutations', 'are', 'lethal', 'at', 'some', 'stage', 'of', 'development']"
1525,"['Comparing', 'the', 'distribution', 'of', 'mutations', 'in', 'a', 'human', 'housekeeping', 'gene', 'with', 'evolutionary', 'conservation', 'is', 'a', 'useful', 'tool', 'for', 'pinpointing', 'amino', 'acid', 'residues', 'important', 'for', 'the', 'stability', 'or', 'the', 'function', 'of', 'the', 'corresponding', 'protein']"
1526,"['In', 'view', 'of', 'the', 'current', 'explosive', 'increase', 'in', 'full', 'genome', 'sequencing', 'projects', ',', 'this', 'tool', 'will', 'become', 'rapidly', 'available', 'for', 'numerous', 'other', 'genes']"
1527,[]
1528,"['Constitutive', 'and', 'regulated', 'modes', 'of', 'splicing', 'produce', 'six', 'major', 'myotonic', 'dystrophy', 'protein', 'kinase', '(DMPK)', 'isoforms', 'with', 'distinct', 'properties.', 'Myotonic', 'dystrophy', '(', 'DM', ')', 'is', 'the', 'most', 'prevalent', 'inherited', 'neuromuscular', 'disease', 'in', 'adults']"
1529,"['The', 'genetic', 'defect', 'is', 'a', 'CTG', 'triplet', 'repeat', 'expansion', 'in', 'the', '3-untranslated', 'region', 'of', 'the', 'myotonic', 'dystrophy', 'protein', 'kinase', '(', 'DMPK', ')', 'gene', ',', 'consisting', 'of', '15', 'exons']"
1530,"['Using', 'a', 'transgenic', 'DMPK-overexpressor', 'mouse', 'model', ',', 'we', 'demonstrate', 'here', 'that', 'the', 'endogenous', 'mouse', 'DMPK', 'gene', 'and', 'the', 'human', 'DMPK', 'transgene', 'produce', 'six', 'major', 'alternatively', 'spliced', 'mRNAs', 'which', 'have', 'almost', 'identical', 'cell', 'type-dependent', 'distribution', 'frequencies', 'and', 'expression', 'patterns']"
1531,"['Use', 'of', 'a', 'cryptic', '5', 'splice', 'site', 'in', 'exon', '8', ',', 'which', 'results', 'in', 'absence', 'or', 'presence', 'of', '15', 'nucleotides', 'specifying', 'a', 'VSGGG', 'peptide', 'motif', ',', 'and', '/', 'or', 'use', 'of', 'a', 'cryptic', '3', 'splice', 'site', 'in', 'exon', '14', ',', 'which', 'leads', 'to', 'a', 'frameshift', 'in', 'the', 'mRNA', 'reading', 'frame', ',', 'occur', 'as', 'independent', 'stochastic', 'events', 'in', 'all', 'tissues', 'examined']"
